QD,10000,126595.622,326532.868,,,,,,
JD1,,127029.195,328544.441,2528.248,200,200,,,
JD2,,126270.297,330165.767,2017.034,150,,,,
JD3,15587.657,126797.134,331957.95,1699.1193,,150,,,
JD4,,129306.674,332294.008,2023.5527,200,300,,1409.151,
JD5,,130014.424,334370.388,1409.151,,200,,,
ZD,21264.672,128656.658,335432.652,,,,,
